id,stage,pattern_name,validators,dependencies,level,stack,description,do,dont,example_gate_json
GP01,W01_requirements,prd-quality-check,script:prd-validator,,hard,generic,PRD 必须通过质量检查,要求 PRD 通过 6 项检查,不要跳过 hard 检查,
GP02,W01_requirements,kano-analysis,file-exists,.chaos-harness/kano-result.json,soft,generic,Kano 分析完成,完成需求池分析,不要跳过优先级评估,
GP03,W03_architecture,design-doc-exists,file-exists,,soft,generic,设计文档存在,创建架构设计文档,不要直接开始编码,
GP04,W08_development,no-syntax-errors,no-syntax-errors,,hard,generic,代码无语法错误,检查所有 .mjs/.js 文件,不要只检查部分文件,
GP05,W09_code_review,git-activity,git-has-commits,,hard,generic,近期有代码提交,要求至少 1 次提交,不要在没有开发时就进入 review,
GP06,W10_testing,test-suite-pass,test-suite-pass,,hard,generic,测试套件必须通过,配置测试框架,不要跳过测试,
GP07,W10_testing,coverage-check,script:coverage-checker,,soft,generic,覆盖率不低于阈值,设置合理阈值 60%,不要设 100% 阻塞开发,
GP08,W10_testing,api-tests,script:api-tester,,hard,generic,API 测试通过,提供 API 测试规范,不要只测成功路径,
GP09,W10_testing,visual-regression,script:visual-regression,,soft,generic,视觉回归检查,保存基线截图,不要忽略 >5% 差异,
GP10,W12_release,all-tests-pass,test-suite-pass,,hard,generic,发布前所有测试通过,确保 CI 绿色,不要带着失败测试发布,
GP11,W10_testing,e2e-tests,script:ui-automator,,soft,vue,E2E 自动化测试,使用 Playwright 录制,不要只依赖手动测试,
GP12,W10_testing,unit-tests,script:test-runner,,hard,vue,Vue 单元测试,使用 Vitest 运行,不要忽略覆盖率阈值,
GP13,W08_development,lint-check,script:lint-runner,,soft,generic,代码规范检查,配置 ESLint 规则,不要忽略 lint 警告,
GP14,W09_code_review,pr-size-check,git-diff-size,,soft,generic,PR 不超过 500 行,拆分为小 PR,不要一次性提交大量代码,
GP15,W03_architecture,threat-model,content-analysis,,medium,generic,威胁建模完成,识别安全风险,不要忽略安全分析,
