id,category,pattern_name,signal,severity,do,dont,fix,example
AP01,testing,skip-tests-on-ci,CI config excludes tests,critical,修复 CI 配置启用测试,不要静默跳过测试,enable test step in CI pipeline,CI 配置中跳过测试
AP02,testing,no-assertions-in-tests,Test file with no assert statements,high,每测试至少一个断言,不要只运行不验证,add assertions to every test,describe('test' () => { it('works' () => {}); });
AP03,testing,flaky-tests,Test passes intermittently,medium,修复不稳定测试,不要忽略间歇失败,identify root cause and fix,setTimeout-based test that fails randomly
AP04,testing,mocking-everything,All dependencies mocked,medium,只 mock 外部依赖,不要 mock 内部逻辑,use real implementation where possible,过度使用 jest.mock()
AP05,prd,acceptance-criteria-missing,PRD without acceptance criteria section,critical,每个功能必须有验收标准,不要写无验收标准的 PRD,add Given-When-Then criteria,PRD 只有功能描述没有验收标准
AP06,prd,no-user-story,PRD without user story format,high,使用作为我可以以便格式,不要只写功能列表,rewrite as user stories,系统应该有登录功能
AP07,prd,prd-hld-boundary,PRD contains API paths or DB schemas,high,PRD 只描述 What 和 Why,不要在 PRD 中规定技术实现,move technical details to HLD,PRD 中定义 POST /api/users
AP08,prd,no-risk-assessment,High-risk feature without rollback plan,high,高风险功能必须有回滚方案,不要忽略风险评估,add rollback section to PRD,支付功能变更无回滚方案
AP09,gate,soft-gate-as-hard,Treating soft gate as hard block,medium,soft gate 只输出建议,不要用 soft gate 阻塞流程,change gate level to soft if blocking,gate-quality-format 导致 CI 失败
AP10,gate,missing-gate-dependency,Gate runs before prerequisite gate,high,遵循 Gate 依赖顺序,不要跳过前置 Gate,add dependsOn to gate definition,gate-w10-testing 在 gate-w09-code-review 之前
AP11,iron-law,docs-without-version,Document written outside version directory,critical,文档必须在版本目录下,不要直接写到 output/根目录,move to output/{version}/docs/,output/PRD.md 应该在 output/v1.0/PRD.md
AP12,iron-law,version-change-without-consent,Version number changed without user approval,critical,版本变更需要用户确认,不要擅自修改版本号,ask user before version change,package.json version 从 1.3.1 改为 1.4.0
AP13,iron-law,high-risk-config-mod,Sensitive config changed without approval,critical,敏感配置修改需要批准,不要自动修改敏感配置,add approval workflow,修改数据库连接字符串
AP14,ui,brittle-selectors,UI tests using CSS class selectors,medium,使用 data-testid 或 aria-label,不要依赖 CSS 类名做选择,change selector strategy,expect('.btn-primary').toBeVisible()
AP15,ui,no-wait-strategy,UI test without element wait,high,使用 waitForElement 或 polling,不要假设元素立即可见,add wait before interaction,click('.modal') 后直接 expect
AP16,ui,no-assertion,UI test without assertion,medium,每步操作后验证元素状态,不要只截图不验证,add visible/enabled assertions,screenshot after click without check
AP17,general,large-pr,PR with >500 lines changed,medium,拆分为小 PR,不要一次性提交大量代码,split into logical units,git diff --stat 显示 +600 -200
AP18,general,no-error-handling,API endpoint without try-catch,high,API 必须有错误处理,不要忽略异常情况,add error handler middleware,async function handler() { return data; }
AP19,general,hardcoded-secrets,Secret key in source code,critical,使用环境变量,不要硬编码密钥,move to .env or secrets manager,API_KEY = 'sk-abc123'
AP20,general,no-logging,Operation without logging,medium,关键操作加日志,不要静默执行重要操作,add info/error logging,数据库删除操作无日志记录
