id,name,background,text,accent,secondary,mood,stack,use_case,notes
P001,Ocean Deep,#0f172a,#ffffff,#3b82f6,#64748b,cool,tailwind,dashboard,Curated palette
P002,Forest Canopy,#1a2e0a,#f0fdf4,#22c55e,#4ade80,natural,tailwind,wellness,Curated palette
P003,Desert Rose,#2e1a1a,#fff1f2,#f43f5e,#fdba74,warm,tailwind,ecommerce,Curated palette
P004,Midnight City,#1a1a2e,#f8fafc,#8b5cf6,#818cf8,dark,tailwind,SaaS app,Curated palette
P005,Arctic Dawn,#e8f0f8,#0f172a,#06b6d4,#7dd3fc,light,custom,landing page,Curated palette
P006,Coral Garden,#2e0f1a,#ffffff,#ec4899,#f9a8d4,warm,tailwind,lifestyle,Curated palette
P007,Autumn Woods,#2e1a0f,#fff7ed,#f97316,#fcd34d,warm,tailwind,blog,Curated palette
P008,Spring Meadow,#0f2e1a,#f0fdf4,#4ade80,#86efac,fresh,tailwind,health,Curated palette
P009,Summer Sky,#1a2e2e,#f0f9ff,#0ea5e9,#7dd3fc,cool,tailwind,travel,Curated palette
P010,Winter Night,#0f1a2e,#ffffff,#6366f1,#a5b4fc,dark,tailwind,enterprise,Curated palette
P011,Ruby Wine,#2e0a1a,#fef2f2,#e11d48,#fca5a5,warm,tailwind,luxury,Curated palette
P012,Golden Hour,#2e2a0f,#fefce8,#eab308,#fde68a,warm,tailwind,food,Curated palette
P013,Silver Lining,#e8e8e8,#0f172a,#64748b,#94a3b8,neutral,custom,corporate,Curated palette
P014,Bronze Sunset,#2e1f0f,#fff7ed,#b45309,#fcd34d,warm,tailwind,travel,Curated palette
P015,Copper Dawn,#2e220f,#fff7ed,#d97706,#fde68a,warm,tailwind,food,Curated palette
P016,Pearl Harbor,#f0f0f0,#0f172a,#a1a1aa,#d4d4d4,neutral,custom,portfolio,Curated palette
P017,Jade Garden,#0f2e1f,#f0fdf4,#10b981,#5eead4,natural,tailwind,eco,Curated palette
P018,Amber Road,#2e220f,#fff7ed,#d97706,#fde68a,warm,tailwind,travel,Curated palette
